Feature,Coefficient,Abs_Coefficient
Weighted Average Shares Diluted Growth,2.1641018696889476,2.1641018696889476
Earnings Before Tax Margin,-1.2784747219354151,1.2784747219354151
Capex to Operating Cash Flow,1.04297196676935,1.04297196676935
Total non-current liabilities,1.0398467544437966,1.0398467544437966
freeCashFlowOperatingCashFlowRatio,1.0305319818623653,1.0305319818623653
Total non-current assets,1.0222659958164366,1.0222659958164366
ROE,0.9939207721156148,0.9939207721156148
returnOnEquity,0.9934911419691786,0.9934911419691786
Other comprehensive income,-0.8660194784164853,0.8660194784164853
Working Capital,-0.7986072107209922,0.7986072107209922
priceToBookRatio,-0.7257263893812924,0.7257263893812924
priceBookValueRatio,-0.7207844404528454,0.7207844404528454
Profit Margin,0.6987063355489331,0.6987063355489331
PTB ratio,-0.6965759624837654,0.6965759624837654
PB ratio,-0.691638682427537,0.691638682427537
Tax Liabilities,-0.6853557647148818,0.6853557647148818
EBITDA Margin,-0.6823135355278872,0.6823135355278872
Deferred revenue,-0.6548922732715634,0.6548922732715634
priceSalesRatio,0.6305408328832255,0.6305408328832255
eBITperRevenue,0.6047146666028773,0.6047146666028773
ebitperRevenue,0.6047146666028773,0.6047146666028773
SG&A to Revenue,-0.5594920126588222,0.5594920126588222
companyEquityMultiplier,0.555290500621977,0.555290500621977
R&D to Revenue,0.5508643298196264,0.5508643298196264
Revenue,-0.5454874005489494,0.5454874005489494
priceFairValue,0.5295482926439045,0.5295482926439045
Invested Capital,0.4908620814150919,0.4908620814150919
Capex to Revenue,-0.4825907562520856,0.4825907562520856
Depreciation & Amortization,-0.425504802995167,0.425504802995167
EBIT Margin,0.41401029925002586,0.41401029925002586
Tangible Book Value per Share,-0.4072554875064495,0.4072554875064495
EBIT,-0.3923794136463142,0.3923794136463142
Price to Sales Ratio,-0.38792802238195223,0.38792802238195223
Cost of Revenue,0.3856896484353913,0.3856896484353913
netProfitMargin,0.3482178290839802,0.3482178290839802
Long-term debt,0.3479815852322876,0.3479815852322876
Book Value per Share,0.3475691621952829,0.3475691621952829
priceToSalesRatio,-0.3293465867881125,0.3293465867881125
Net Profit Margin,-0.3053486410408735,0.3053486410408735
Net Cash/Marketcap,0.3000477894800146,0.3000477894800146
Total assets,-0.29905037753590896,0.29905037753590896
Graham Net-Net,-0.2856295138488768,0.2856295138488768
SG&A Expenses Growth,-0.2840085565827996,0.2840085565827996
Book Value per Share Growth,-0.2584508550986052,0.2584508550986052
EPS Diluted,0.24295465515524747,0.24295465515524747
daysOfInventoryOutstanding,0.2275158207260567,0.2275158207260567
Dividend per Share,-0.21933198900075196,0.21933198900075196
EPS,0.21005268850243367,0.21005268850243367
EBITDA,0.20216003699735238,0.20216003699735238
Other Liabilities,-0.1964586446840783,0.1964586446840783
Net Income Growth,-0.1920393270891561,0.1920393270891561
Net Income Com,0.18981703535953348,0.18981703535953348
Net Income per Share,-0.18398219898926252,0.18398219898926252
Stock-based compensation to Revenue,-0.1753379318264339,0.1753379318264339
Deposit Liabilities,0.14664226693043617,0.14664226693043617
Consolidated Income,-0.14497975624202572,0.14497975624202572
Inventories,-0.14433012156471622,0.14433012156471622
Investments,-0.14057658130457426,0.14057658130457426
Shareholders Equity per Share,-0.1384557088037048,0.1384557088037048
Net Current Asset Value,-0.1323910560849216,0.1323910560849216
enterpriseValueMultiple,-0.1264355355992112,0.1264355355992112
Days Sales Outstanding,-0.1260057369304396,0.1260057369304396
interestCoverage,-0.11005486918614556,0.11005486918614556
Interest Coverage,0.10764174781205531,0.10764174781205531
Gross Margin,0.10339353920150204,0.10339353920150204
SG&A Expense,0.10316585002740707,0.10316585002740707
Other Assets,0.09886068206042824,0.09886068206042824
Capex per Share,0.09565606972543973,0.09565606972543973
Interest Debt per Share,0.0915570355541066,0.0915570355541066
operatingCycle,0.09145370672114579,0.09145370672114579
Revenue Growth,-0.09137179868365818,0.09137179868365818
payoutRatio,-0.08942014056875841,0.08942014056875841
operatingCashFlowSalesRatio,0.08736407791979209,0.08736407791979209
Receivables,-0.08502036919282736,0.08502036919282736
Operating Cash Flow,-0.08395469456054715,0.08395469456054715
EV to Free cash flow,-0.08383782616777002,0.08383782616777002
Tangible Asset Value,0.07830489804556201,0.07830489804556201
Operating Income,0.07826855750088761,0.07826855750088761
Net Income,0.07765343633334683,0.07765343633334683
Total debt,-0.07603766798176476,0.07603766798176476
cashPerShare,0.07430167563778234,0.07430167563778234
Payables,0.07421952050053586,0.07421952050053586
Payout Ratio,0.07319383143254365,0.07319383143254365
PE ratio,-0.07273119538349578,0.07273119538349578
Dividend payments,-0.07267505204857055,0.07267505204857055
EPS Growth,0.0713444909200978,0.0713444909200978
Operating Cash Flow per Share,0.06789674307382267,0.06789674307382267
Average Payables,-0.06602199116053013,0.06602199116053013
Revenue per Share,0.06573689578412922,0.06573689578412922
Capital Expenditure,-0.06441100960076493,0.06441100960076493
EV to Operating cash flow,0.06419853202466771,0.06419853202466771
Cash per Share,0.06412453338470325,0.06412453338470325
Weighted Average Shs Out,-0.06366347786571067,0.06366347786571067
Graham Number,-0.0635234380126975,0.0635234380126975
Enterprise Value over EBITDA,0.06309275901208064,0.06309275901208064
Earnings before Tax,-0.061865446236008065,0.061865446236008065
10Y Shareholders Equity Growth (per Share),0.061326795144924805,0.061326795144924805
Goodwill and Intangible Assets,-0.059713961895667474,0.059713961895667474
Average Inventory,0.057107808455230905,0.057107808455230905
Gross Profit Growth,0.05690163552935036,0.05690163552935036
Net Debt,0.056219382508064394,0.056219382508064394
POCF ratio,-0.05451397275921713,0.05451397275921713
Cash and cash equivalents,0.053998373587150914,0.053998373587150914
Free Cash Flow Yield,-0.05373487842860475,0.05373487842860475
dividendpaidAndCapexCoverageRatios,0.05281786414449272,0.05281786414449272
priceEarningsRatio,0.052632494371980976,0.052632494371980976
Free Cash Flow,0.051272248760442056,0.051272248760442056
daysOfPayablesOutstanding,-0.05012539129198276,0.05012539129198276
Days Payables Outstanding,-0.04966595819792528,0.04966595819792528
5Y Revenue Growth (per Share),0.04867573256314541,0.04867573256314541
Net Debt to EBITDA,0.04802260794967844,0.04802260794967844
Cash and short-term investments,0.04565187204240295,0.04565187204240295
Short-term debt,0.04405397999391417,0.04405397999391417
Short-term investments,0.04374402720791748,0.04374402720791748
Operating Income Growth,0.04276520353087923,0.04276520353087923
Total liabilities,0.04244141621834682,0.04244141621834682
Issuance (buybacks) of shares,-0.041798728198410365,0.041798728198410365
effectiveTaxRate,-0.041151663969601855,0.041151663969601855
capitalExpenditureCoverageRatios,-0.040064808643582826,0.040064808643582826
priceEarningsToGrowthRatio,-0.040012311956560485,0.040012311956560485
3Y Dividend per Share Growth (per Share),0.03750646795149538,0.03750646795149538
Intangibles to Total Assets,0.037180499888060416,0.037180499888060416
Stock-based compensation,0.03678485793884931,0.03678485793884931
5Y Operating CF Growth (per Share),0.03488315804619871,0.03488315804619871
cashConversionCycle,-0.03434058533011517,0.03434058533011517
Inventory Growth,-0.033765943918328434,0.033765943918328434
5Y Shareholders Equity Growth (per Share),-0.03352941153099393,0.03352941153099393
Weighted Average Shs Out (Dil),0.033493972364630996,0.033493972364630996
totalDebtToCapitalization,-0.03333525172833684,0.03333525172833684
daysOfSalesOutstanding,0.031812091944352666,0.031812091944352666
Investing Cash flow,-0.030924013958236202,0.030924013958236202
Days of Inventory on Hand,0.030846946136060042,0.030846946136060042
shortTermCoverageRatios,-0.03040967605706115,0.03040967605706115
Operating Expenses,0.030325881345525194,0.030325881345525194
Free Cash Flow growth,0.02987781042098473,0.02987781042098473
Weighted Average Shares Growth,-0.029601116759838588,0.029601116759838588
Capex to Depreciation,-0.029071826504987477,0.029071826504987477
operatingCashFlowPerShare,0.028089690969848927,0.028089690969848927
Income Quality,0.027922517994864775,0.027922517994864775
quickRatio,0.027812951748124527,0.027812951748124527
Market Cap,0.02680897978718283,0.02680897978718283
5Y Dividend per Share Growth (per Share),0.026755543330502222,0.026755543330502222
Preferred Dividends,-0.026704245927009044,0.026704245927009044
3Y Net Income Growth (per Share),0.02624452119508266,0.02624452119508266
assetTurnover,0.025226123905224933,0.025226123905224933
Tax assets,0.02516550020400757,0.02516550020400757
Net cash flow / Change in cash,-0.024909323095297302,0.024909323095297302
pretaxProfitMargin,-0.02437580818337337,0.02437580818337337
3Y Operating CF Growth (per Share),0.02432250118230849,0.02432250118230849
Operating Cash Flow growth,0.024204977006542585,0.024204977006542585
Total shareholders equity,0.023615690021199214,0.023615690021199214
3Y Shareholders Equity Growth (per Share),-0.023101283915675314,0.023101283915675314
Total current liabilities,-0.023004468039612223,0.023004468039612223
dividendYield,0.022871544441520977,0.022871544441520977
ebtperEBIT,-0.02280514067131018,0.02280514067131018
eBTperEBIT,-0.02280514067131018,0.02280514067131018
Total current assets,0.022764479248678346,0.022764479248678346
Gross Profit,-0.022670870250949816,0.022670870250949816
payablesTurnover,0.02204059428211483,0.02204059428211483
Payables Turnover,0.02204059428211483,0.02204059428211483
Asset Growth,0.02161523299571447,0.02161523299571447
Average Receivables,0.021555317562567088,0.021555317562567088
inventoryTurnover,-0.021426235431993748,0.021426235431993748
Inventory Turnover,-0.021426235431993748,0.021426235431993748
PFCF ratio,0.020112097958697273,0.020112097958697273
Debt Growth,-0.020025499748299685,0.020025499748299685
Return on Tangible Assets,0.018887454144693977,0.018887454144693977
returnOnAssets,0.018887454144693977,0.018887454144693977
10Y Operating CF Growth (per Share),0.01874695767164966,0.01874695767164966
Income Tax Expense,0.018480632409916417,0.018480632409916417
debtEquityRatio,-0.01810170768140964,0.01810170768140964
Debt to Equity,-0.01810170768140964,0.01810170768140964
Retained earnings (deficit),0.018058582030038822,0.018058582030038822
Dividend Yield,0.01790966712725498,0.01790966712725498
EBIT Growth,0.017843370484117473,0.017843370484117473
Enterprise Value,0.016576749113067175,0.016576749113067175
Long-term investments,0.0163972082875958,0.0163972082875958
priceToOperatingCashFlowsRatio,-0.01628729725235089,0.01628729725235089
grossProfitMargin,0.01528797276971029,0.01528797276971029
currentRatio,0.01526185187100207,0.01526185187100207
R&D Expenses,0.015137747976123522,0.015137747976123522
longtermDebtToCapitalization,0.01483073746895084,0.01483073746895084
fixedAssetTurnover,-0.014276933948571451,0.014276933948571451
"Property, Plant & Equipment Net",-0.012900991287896176,0.012900991287896176
Free Cash Flow margin,-0.012334369430156575,0.012334369430156575
Receivables Turnover,0.01199235315737778,0.01199235315737778
Effect of forex changes on cash,0.011590079904315334,0.011590079904315334
Dividends per Share Growth,-0.01150661670261073,0.01150661670261073
3Y Revenue Growth (per Share),-0.011266955574805462,0.011266955574805462
Acquisitions and disposals,-0.011216450956624328,0.011216450956624328
Earnings Yield,-0.01105399752751263,0.01105399752751263
Net Income - Non-Controlling int,-0.010946488571162148,0.010946488571162148
EV to Sales,0.010709940497554672,0.010709940497554672
freeCashFlowPerShare,-0.00960676996207348,0.00960676996207348
Current ratio,-0.00832932076624554,0.00832932076624554
priceToFreeCashFlowsRatio,-0.008318349921087587,0.008318349921087587
10Y Revenue Growth (per Share),0.0075668407069973565,0.0075668407069973565
R&D Expense Growth,0.00751532461400725,0.00751532461400725
nIperEBT,-0.007375838468837064,0.007375838468837064
niperEBT,-0.007375838468837064,0.007375838468837064
cashRatio,-0.006551328978963475,0.006551328978963475
5Y Net Income Growth (per Share),0.005970894592805805,0.005970894592805805
10Y Net Income Growth (per Share),-0.005607253068216367,0.005607253068216367
Free Cash Flow per Share,-0.005034402332526517,0.005034402332526517
cashFlowCoverageRatios,-0.0048913892474671825,0.0048913892474671825
cashFlowToDebtRatio,-0.0048913892474671825,0.0048913892474671825
Receivables growth,-0.004191050125583137,0.004191050125583137
Interest Expense,-0.003922896935378983,0.003922896935378983
10Y Dividend per Share Growth (per Share),0.0038509130843869762,0.0038509130843869762
Investment purchases and sales,0.00343674172434974,0.00343674172434974
priceCashFlowRatio,-0.0028203997210203197,0.0028203997210203197
Financing Cash Flow,0.0024573129828113728,0.0024573129828113728
Net Income - Discontinued ops,0.002222231278466348,0.002222231278466348
returnOnCapitalEmployed,0.0014919711978121002,0.0014919711978121002
ROIC,0.0014919711978121002,0.0014919711978121002
debtRatio,-0.001419524750549633,0.001419524750549633
Debt to Assets,-0.001419524750549633,0.001419524750549633
dividendPayoutRatio,-0.0009508117063062103,0.0009508117063062103
EPS Diluted Growth,0.0006068484520096688,0.0006068484520096688
Issuance (repayment) of debt,-1.3880340384066591e-05,1.3880340384066591e-05
operatingProfitMargin,0.0,0.0
